"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Sun Y.","Sun, Yumeng (58929347600)","58929347600","Digital transformation and corporates' green technology innovation performance–The mediating role of knowledge sharing","2024","Finance Research Letters","62","","105105","","","","2","10.1016/j.frl.2024.105105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187310362&doi=10.1016%2fj.frl.2024.105105&partnerID=40&md5=d759e29fc2d1132b75dc0168f77eb966","We analyze the effects of corporate digital transformation on green technology innovation performance by studying data from A-share listed companies from 2012 to 2022. We utilize fixed-effect and mediation-effect models to understand the underlying mechanisms. The results indicate that digital transformation significantly enhances a corporate's green technology innovation performance. Corporates’ knowledge sharing plays a crucial role in mediating the relationship between digital transformation and green technology innovation performance, since digital transformation promotes knowledge sharing and thus improves green technology innovation performance. © 2024","Corporates’ technology innovation performance; Digital transformation; Knowledge sharing; Mediating effect","Article","Final","","Scopus","2-s2.0-85187310362"
"Li N.; Zhou Y.","Li, Nan (58945188400); Zhou, Yifan (58945704100)","58945188400; 58945704100","Can digital financial development promote corporate green technology innovation?","2024","International Review of Economics and Finance","92","","","1562","1582","20","0","10.1016/j.iref.2024.03.008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188119650&doi=10.1016%2fj.iref.2024.03.008&partnerID=40&md5=b99e6c2dd4147179520220a0c389e547","In an era where digital technology spearheads high-quality economic growth, its fusion with traditional financial services has revolutionized the supply, process, and efficiency of these services. This integration provides precise and effective touchpoints for financial services in the real economy. This study, using data from all A-share listed companies in Shanghai and Shenzhen, empirically examines how digital finance boosts green technological innovation in enterprises and explores the underlying mechanisms. The findings reveal that digital finance significantly enhances green innovation by optimizing financial resource allocation and easing firms' financing constraints. The impact of digital finance is more pronounced in enterprises with broader reach, deeper application, higher pollution levels, and those outside the high-tech sector. Further analysis distinguishes the types of green innovation, noting that digital finance more effectively supports inventive innovation in non-polluting and non-high-tech firms, while significantly aiding practical innovation in heavily polluting companies. Additionally, the study finds that the beneficial impact of digital finance on green innovation also boosts overall corporate productivity. © 2024","Digital economy; Digital finance; Financing constraints; Green technology innovation","Article","Final","","Scopus","2-s2.0-85188119650"
"Wang A.; Hu S.; Zhu M.; Wu M.","Wang, Ailun (56510682700); Hu, Shuo (57221078413); Zhu, Mei (58923873500); Wu, Mingxuan (58502092200)","56510682700; 57221078413; 58923873500; 58502092200","Customer contagion effects of voluntary environmental regulation: A supplier green innovation perspective","2024","Energy Economics","132","","107446","","","","0","10.1016/j.eneco.2024.107446","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186953439&doi=10.1016%2fj.eneco.2024.107446&partnerID=40&md5=2ae4ec24503fc972870692b4b6c4626c","Prior studies primarily focused on internal green innovation and environmental performance concerning voluntary environmental regulations. Little attention has been given to the impact of partner-imposed regulations, such as those by customers, on green innovation in supplier firms. This research explores the influence of customer-driven voluntary environmental regulation on supplier green innovation and its mechanisms. The findings indicate that customer-driven voluntary environmental regulation leads to a positive contagion effect, significantly fostering supplier green innovation. Robustness is maintained through tests, including trend analysis, placebo tests, propensity score matching (PSM), and controls for spillover mechanisms and external influences. Demand feedback and knowledge spillover are identified as mediating mechanisms. Additionally, equity linkage and state ownership in suppliers facilitate customer-driven voluntary environmental regulation, further promoting green innovation. This study advances understanding in the context of supply chain green innovation. © 2024 Elsevier B.V.","Demand feedback mechanism; Knowledge spillover mechanism; Supply chain; Voluntary environmental regulation","Article","Final","","Scopus","2-s2.0-85186953439"
"Iqbal M.; Arshed N.; Chan L.-F.","Iqbal, Mubasher (57217622559); Arshed, Noman (57190409735); Chan, Ling-Foon (57196062615)","57217622559; 57190409735; 57196062615","Exploring the dynamics: Biodiversity impacts of natural resource extraction with moderating influence of FinTech for sustainable practices in resource-rich nations","2024","Resources Policy","91","","104933","","","","0","10.1016/j.resourpol.2024.104933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188555612&doi=10.1016%2fj.resourpol.2024.104933&partnerID=40&md5=09d273f982f64e96ecb08a12aecad388","The relationship between biodiversity and natural resource extraction is a complex interplay where resource extraction can positively or negatively impact the diversity of life in ecosystems, depending on the specific context and management practices. Resource rich countries are facing this challenge to balance the growing economy natural resource needs against the richness of natural habitat. So, the study objective is to validate the non-linear impact of total natural resource extraction on biodiversity. For this purpose, 19 resource-rich countries have been considered from 2000 to 2021. A Common Correlated Mean Group (CCMG) specification is adopted in quantile regression to address cross-sectional dependence and non-normality of data. This model is specifically utilized to control for the spillover effects of natural resource markets across resource rich countries. According to the estimated results, an inverted U-shaped relationship is validated between natural resource extraction and biodiversity. Interestingly, the incorporation of financial technology encourages biodiversity. Further, the moderating effect of fintech evolves sustainable practices in natural resource extraction and promotes biodiversity. Energy intensity and population density as controlling factors of the model are damaging and improving biodiversity, respectively. Considering the inverted U-shaped relationship, policymakers are urged to design adaptive regulations that incentivize sustainable resource extraction practices. Using financial technology can play a vital role in promoting innovation and transparency, making it a critical strategy to consider. © 2024 Elsevier Ltd","Biodiversity; Cross-sectional dependence; Fintech; Natural resources; Sustainability","Article","Final","","Scopus","2-s2.0-85188555612"
"Dong H.; Zheng Y.; Tang Y.","Dong, Hao (57220896455); Zheng, Yingrong (58042978400); Tang, Yuhong (58909010500)","57220896455; 58042978400; 58909010500","Impact of FinTech on the industrial structural transformation: Evidence from China's resource-based cities","2024","Resources Policy","91","","104833","","","","0","10.1016/j.resourpol.2024.104833","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186117378&doi=10.1016%2fj.resourpol.2024.104833&partnerID=40&md5=2d764d4dd42a29abf745464a72b6e78c","In the wave of global digital transformation, FinTech plays an increasingly prominent role in leading economic development and industrial structure transformation (IST). Furthermore, developing natural resources in resource-dependent cities typically requires significant capital investment. Therefore, exploring strategies that leverage FinTech to introduce innovative financial products and services emerges as a critical pursuit, holding the key to enhancing operational efficiency within the resource extraction sector and facilitating industrial advancement. This study investigates the impact of FinTech on IST in Chinese resource-based cities. Empirical data demonstrates the significant driving role of FinTech in improving IST. It demonstrates a positive association between the influence of FinTech and the depth of financial deepening. The heterogeneity analysis of the sub-sample reveals that the positive impact of FinTech on IST is particularly evident in central and western cities, small and medium-sized cities, and cities with a high level of marketization. There exists an apparent threshold effect of FinTech on IST, beyond which the role of FinTech in guiding IST becomes more prominent. The insights derived from this study aim to enhance the empowering potential of FinTech, thereby paving a more robust path for IST in resource-based cities. © 2024 Elsevier Ltd","Economic scale; Financial deepening; FinTech; Industrial structure transformation; Resource cities","Article","Final","","Scopus","2-s2.0-85186117378"
"Xia X.; Chishti M.Z.; Dogan E.","Xia, Xiqiang (57202752304); Chishti, Muhammad Zubair (57216248707); Dogan, Eyup (56088161200)","57202752304; 57216248707; 56088161200","Transition towards the sustainable development: unraveling the effects of mineral markets, Belt & Road Initiative, and the Paris Agreement on green economic growth","2024","Resources Policy","91","","104896","","","","0","10.1016/j.resourpol.2024.104896","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188029606&doi=10.1016%2fj.resourpol.2024.104896&partnerID=40&md5=0e98b3adb8d774ef54f8736f80f13262","The Agenda 2030 strongly emphasizes implementing effective and equitable measures to address the urgent challenge of global warming, primarily driven by unsustainable fossil-fuel combustion, and one of its core focuses is Sustainable Development Goal (SDG) – 8, among others. In light of this, the recent article aims to explore the dynamic nexus between minerals (MNR), the Belt and Road Initiative (BRI), the Paris Agreement (PA), green technologies (GT), and green growth, with a specific focus on developing a policy framework for advancing SDG – 8. The study utilizes daily data and advanced econometric tools such as QVAR, Cross-quantileogram, and wavelet-quantile correlation to examine the diverse effects of these factors on green growth across various time horizons. The short-run analysis reveals that MNR, BRI, and GT discourage green growth under most market conditions, except for a few quantiles that exhibit positive or insignificant relationships. In the medium run, impacts are mixed, with both positive and negative effects observed. However, in the long run, MNR, BRI, and GT consistently demonstrate favorable effects on green growth. For PA, short and medium-run effects are mixed, but medium-run results indicate a predominantly positive impact on green growth. In the long run, PA significantly benefits green growth across the majority of market conditions. Overall, the diversified results suggest that minerals, BRI, the Paris Agreement, and green technologies play a crucial role in stimulating green growth to achieve SDG - 8 in the long term. © 2024 Elsevier Ltd","Advanced econometrics; BRI; Mineral markets; Paris agreement; SDG-8","Article","Final","","Scopus","2-s2.0-85188029606"
"Lorenz S.; Heigl B.; Palmié M.; Oghazi P.","Lorenz, Selina (58657665800); Heigl, Barbara (58896648900); Palmié, Maximilian (37039802700); Oghazi, Pejvak (36195901200)","58657665800; 58896648900; 37039802700; 36195901200","From business models for public actors to public service provision models: Extending the business model concept to the public sector","2024","Technological Forecasting and Social Change","201","","123273","","","","1","10.1016/j.techfore.2024.123273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185529730&doi=10.1016%2fj.techfore.2024.123273&partnerID=40&md5=970268ea22d1b351dfa3ce3f92bacc9a","Every organization, knowingly or unknowingly, operates a business model. However, while private actors frequently make use of the business model concept to actively manage their service provision, public organizations struggle with adopting it. This has led to a separate literature stream in which public management scholars developed public sector adaptations of the business model concept. As the business model conceptualizations in the general and public management literatures diverge, insight transfer between both streams is becoming increasingly difficult. Building on the need for more conceptual alignment in business model research, this article explores how the divergent conceptualizations of business models in the general and public management literatures can be reintegrated. It first presents the results of a focused literature review to illustrate their commonalities and differences. The article then introduces an integrated business model framework for the private and public sectors to merge the findings of both streams as well as to provide a common language for public-private business model realization. By advocating an integrated approach, we aim to bridge the emerging gap between the general and public management business model literatures, thereby seeking to counteract the gap's adverse implications for business model research as well as practice. © 2024 The Authors","Business models; Private sector; Public sector; Public service provision models; Public-private collaboration; Smart city","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85185529730"
"Bhattacharya S.; Govindan K.; Ghosh Dastidar S.; Sharma P.","Bhattacharya, Sourabh (56454658800); Govindan, Kannan (54986334000); Ghosh Dastidar, Surajit (58678236200); Sharma, Preeti (58903289000)","56454658800; 54986334000; 58678236200; 58903289000","Applications of artificial intelligence in closed-loop supply chains: Systematic literature review and future research agenda","2024","Transportation Research Part E: Logistics and Transportation Review","184","","103455","","","","1","10.1016/j.tre.2024.103455","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185829951&doi=10.1016%2fj.tre.2024.103455&partnerID=40&md5=0cacf4e54f4800131dac846bee6344d3","In this paper, we present a systematic literature review of the applications of Artificial Intelligence (AI) in Closed-loop Supply Chains (CLSC). Through a systematic and unbiased search, we select 303 peer-reviewed articles and examined them to understand the prevalent publication trends, most impactful studies, most influential authors, and most popular journals. We further identify ten most popular AI techniques and evaluated their applications in several CLSC subfields. We identify seven CLSC subfields that can benefit significantly from AI in future. Consequently, we provide a framework containing fifteen research questions that can guide future research on AI applications in CLSC. © 2024 The Author(s)","Artificial Intelligence; Closed-loop supply chains; Machine Learning; Reverse Logistics; Systematic Literature Review","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85185829951"
"Huang W.; Zhao J.; Wang X.","Huang, Wenyang (57203929089); Zhao, Jianyu (58940000100); Wang, Xiaokang (57214466664)","57203929089; 58940000100; 57214466664","Model-driven multimodal LSTM-CNN for unbiased structural forecasting of European Union allowances open-high-low-close price","2024","Energy Economics","132","","107459","","","","0","10.1016/j.eneco.2024.107459","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187799440&doi=10.1016%2fj.eneco.2024.107459&partnerID=40&md5=2eb5487c01e37fc45d42b368e847c799","European Union allowances (EUAs), the “currency in circulation” of the EU Emissions Trading Scheme (ETS), have spawned a great deal of speculative trading. This study proposes a model-driven long short-term memory network (LSTM)-convolutional neural network (CNN) hybrid model that integrates numerical data features and candlestick features to achieve accurate and unbiased structural prediction of EUA futures open-high-low-close (OHLC) prices during the four phases of the EU ETS. During EU ETS Phase IV, the out-of-sample prediction outcomes of the LSTM-CNN model exhibited a mean absolute percentage error (MAPE) of 0.942%, a mean absolute error (MAE) of 0.877, a root mean squared error (RMSE) of 1.157, a goodness-of-fit (R2) of 0.953, an accuracy ratio (AR) of 0.544, and a forecast correct rate of ups and downs (UP) of 0.579. In comparison to Naive methods, vector autoregression (VAR) combined with vector error correction model (VECM), multiple linear regression (MLR), partial least squares (PLS), support vector regression (SVR), and standalone LSTM, the LSTM-CNN approach demonstrated a notable enhancement in the average MAPE across the four stages of the EU ETS—specifically, an improvement of 21.66%, 43.15%, 15.73%, 15.72%, 10.45%, and 5.91%, respectively. Drawing from the unbiased structural forecasts of OHLC data, this study proposes fruitful intraday trading strategies that attain substantive investment returns in the realm of EUA futures trading. The multimodal forecasting methodology and intraday trading strategies advanced in this study hold considerable promise within the domain of energy finance. © 2024","EU ETS; EUA; Multimodal LSTM-CNN; OHLC data; Unbiased structural forecast","Article","Final","","Scopus","2-s2.0-85187799440"
"Huang L.; Zhou T.","Huang, Lingyu (58613847300); Zhou, Tingyuan (58745391800)","58613847300; 58745391800","How does blockchain technology enhance firm operation and cooperation?","2024","International Review of Economics and Finance","92","","","34","49","15","0","10.1016/j.iref.2024.01.049","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187278076&doi=10.1016%2fj.iref.2024.01.049&partnerID=40&md5=c2c262c21640fbd8f16c286b29ee708b","As a new disruptive technology, blockchain is widely regarded as one of the most promising digital technologies. Existing research, however, offers limited empirical evidence of the impact of blockchain technology on corporate business processes. We conduct empirical analysis based on the panel data of A-Share listed firms in China. We find that blockchain investment significantly enhances operational business processes and supply chain management. This finding is robust to a battery of robustness checks. We also find that the impact of blockchain investment is more substantial when blockchain implementation enters a mature stage. Additional cross-sectional tests show that the impact of blockchain investment mainly concentrates on firms with higher operational complexity, better capability to adopt new technology, and larger innovation inputs. Overall, based on the results of the empirical analysis, this paper provides significant implications for firms to construct blockchain projects in the future. © 2024 Elsevier Inc.","Blockchain; Blockchain investment; Business operation; Inventory management; Organizational collaboration; Supply chain management","Article","Final","","Scopus","2-s2.0-85187278076"
"Sun W.; Guo X.; Kwok R.C.-W.","Sun, Weiwei (57196465892); Guo, Xitong (24777794600); Kwok, Ron Chi-Wai (7103363146)","57196465892; 24777794600; 7103363146","Emotion or information? Differences and relationships between two types of professional support in online health communities","2024","Information and Management","61","3","103944","","","","0","10.1016/j.im.2024.103944","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187204545&doi=10.1016%2fj.im.2024.103944&partnerID=40&md5=277fd4c132bab6a68942986f650e5f2c","One major challenge physicians face in online health communities (OHCs) is how to better support patients in online consultations. Addressing this issue requires an in-depth understanding of the differences and relationships between different types of professional support provided by physicians. We use text mining to quantify emotional and informational support in physician replies and compare their impacts on physician returns in OHCs. Our analysis suggests that informational support has a larger and longer-lasting effect than emotional support, and a complementary relationship exists between these two support types. We also find that jargon usage negatively moderates the effect of informational support. © 2024","Complementarity and substitution; Emotional support; Informational support; Online health community; Physician returns; Text mining","Article","Final","","Scopus","2-s2.0-85187204545"
"Li J.; Wang H.; Soh W.","Li, Jingwen (58937845800); Wang, Haoliang (58937430400); Soh, WeiNi (58943225900)","58937845800; 58937430400; 58943225900","Digital transformation, financial literacy and rural household entrepreneurship","2024","Finance Research Letters","62","","105171","","","","0","10.1016/j.frl.2024.105171","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188005393&doi=10.1016%2fj.frl.2024.105171&partnerID=40&md5=d4ed0aa67d57f7f368f6552dc32ffc02","This paper empirically investigates the impact of digital transformation on the performance of rural household entrepreneurship. We find that digital transformation promotes rural household entrepreneurship performance. Financial literacy plays a role as a moderating variable between the two. Heterogeneity analysis shows that the facilitating effect of digital transformation on rural household entrepreneurship performance is more significant in the central and western regions. This paper enriches the research on digital transformation from a micro perspective, complements the relevant research on rural households, and explores the mechanism of digital transformation's impact on rural household entrepreneurship performance. © 2024","Digital transformation; Financial literacy; Rural household entrepreneurship","Article","Final","","Scopus","2-s2.0-85188005393"
"Su C.W.; Song X.Y.; Qin M.; Lobonţ O.-R.","Su, Chi Wei (15066016200); Song, Xin Yue (58953309400); Qin, Meng (57212553879); Lobonţ, Oana-Ramona (55569893700)","15066016200; 58953309400; 57212553879; 55569893700","Is copper a safe haven for oil?","2024","Resources Policy","91","","104897","","","","0","10.1016/j.resourpol.2024.104897","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85188554377&doi=10.1016%2fj.resourpol.2024.104897&partnerID=40&md5=b53852c6e85f6dc1e067c463d718321c","This paper uses bootstrap full- and sub-sample rolling-window Granger causality analyses to investigate the dynamic relationship between the copper market and oil prices (OP). The findings indicate that OP has both favourable and adverse effects in copper price (CP). The negative impact suggests that with the decline in OP, some investors may consider copper a potential safe-haven asset, anticipating its relatively stable performance, thereby potentially driving an increase in copper investment demand. However, the favourable influence of OP on CP does not support this viewpoint, primarily due to economic and geopolitical factors causing them to move in the same direction. Therefore, these results align about the price correlation framework, indicating that OP only affects CP during specific periods, but the impact direction remains uncertain. In the context of the growing interconnection between the commodity markets, particularly the crude oil and copper markets, studying the impact of international OP shocks on the copper market is beneficial for investors and related enterprises to make informed investments and risk mitigation strategies. © 2024 Elsevier Ltd","Causality; Copper market; Oil price; Time-varying","Article","Final","","Scopus","2-s2.0-85188554377"
"Qi Y.; Tang Y.; Bai T.","Qi, Yong (36809253400); Tang, Yanan (57786566500); Bai, Tingting (57768441800)","36809253400; 57786566500; 57768441800","Impact of smart city pilot policy on heterogeneous green innovation: micro-evidence from Chinese listed enterprises","2024","Economic Change and Restructuring","57","2","67","","","","0","10.1007/s10644-024-09654-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187496616&doi=10.1007%2fs10644-024-09654-5&partnerID=40&md5=7c9195706844290caeb1d88143412771","As a new form of urbanization, smart city construction in China represents an innovative approach to promoting economic growth and environmental protection. This paper takes the smart city pilot policy (SCPP) as a quasi-natural experiment. Based on the panel data of Chinese listed enterprises during 2007–2021, the impacts of SCPP on heterogeneous enterprise green innovation (EGI) are explored using the difference-in-differences method. The results indicate that SCPP can effectively promote EGI. Particularly, SCPP contributes more significantly to energy conservation innovation at source and technology-based green innovation than end-of-pipe governance innovation and administration-based green innovation. Mechanism tests reveal that SCPP can promote EGI by increasing enterprise digitalization. SCPP is also subject to government environmental monitoring and public environmental supervision, thus encouraging EGI. Heterogeneity analysis suggests that SCPP exhibits more prominent promotion effects on EGI in eastern and central regions, non-resource-based regions, and large enterprises. Furthermore, SCPP promotes EGI while leading to long-term improvements in enterprise economic performance. This study can provide not only micro-evidence from Chinese listed enterprises for understanding the heterogeneous green innovation impact of smart city construction. The findings can also provide valuable references for other developing countries experiencing rapid urbanization and industrialization in their pursuit of green development. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Enterprise digitalization; Enterprise green innovation; Government environmental monitoring; Public environmental supervision; Smart city pilot policy","Article","Final","","Scopus","2-s2.0-85187496616"
"Papakonstantinidis S.; Kwiatek P.; Spathopoulou F.","Papakonstantinidis, Stavros (57211217145); Kwiatek, Piotr (57202815130); Spathopoulou, Filomachi (57207987767)","57211217145; 57202815130; 57207987767","Embrace or resist? Drivers of artificial intelligence writing software adoption in academic and non-academic contexts","2024","Contemporary Educational Technology","16","2","ep495","","","","0","10.30935/cedtech/14250","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185678739&doi=10.30935%2fcedtech%2f14250&partnerID=40&md5=30f4e6a5fa6941f15565f563a0f60d06","This research investigates the perspectives of using artificial intelligence writing software (AIWS) in professional contexts, focusing on academic and non-academic writers. These two groups, while standing to gain increased productivity through the adoption of AIWS, also express concerns regarding the widespread implementation of this technology. Notably, artificial intelligence (AI) writing tech’s impact on content creation has been profound, with its swift grammatically accurate content generation. This adoption, however, remains controversial. The study employs a quantitative approach, combining technology acceptance model and new computer game attitude scale. This approach allows us to discern implications of using AI-powered writing tools while accounting for possible differences in different domains of use. Through a survey of 219 participants, spanning academia and business, the study explores attitudes and willingness to use AIWS. Findings yield insights into non-academic writers’ readiness and implications of AIWS adoption. Business, non-academic professionals view AIWS as a tool for efficiency and content quality, while writers in academic contexts express concerns about biases, manipulation, and job displacement. The study contributes to AIWS understanding, benefiting developers, educational institutions, and content creators, and elucidates differing attitudes and age dynamics between academics and professionals. The research underscores the multifaceted influence of AIWS, providing a foundation for future exploration in this emerging domain, as well as practical applications for industries and educational institutions. © 2024 by authors; licensee CEDTECH by Bastas.","artificial intelligence; chatbots; ChatGPT; education; educational technologies","Article","Final","","Scopus","2-s2.0-85185678739"
"Luo W.; Yu Y.; Deng M.","Luo, Wenbing (57207456765); Yu, Yuxin (58917754500); Deng, Mingjun (57201989528)","57207456765; 58917754500; 57201989528","The impact of enterprise digital transformation on risk-taking: Evidence from China","2024","Research in International Business and Finance","69","","102285","","","","1","10.1016/j.ribaf.2024.102285","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186608329&doi=10.1016%2fj.ribaf.2024.102285&partnerID=40&md5=be14ad0f976cf3188fc2c46b03d7369d","With the continuous emergence of digital technology, the transformation and upgrading of enterprise digitalization has become the focus of the industry. This paper takes all A-share listed enterprises in China's capital market from 2010 to 2021 as the sample, to test the impact of digital transformation on risk-taking. The research finds that digital transformation significantly promotes risk-taking level. Further analysis shows that the impact of enterprise digitalization on risk-taking has obvious heterogeneity, the positive impact is more significant in non-heavily polluting enterprises, small-scale enterprises and non-state-owned enterprises; investment efficiency and cost stickiness moderate the above relationship; digital transformation enhances risk-taking by improving managerial ability, strategic deviance and asset utilization. Our study provides enlightenment for enhancing the risk-taking level. © 2024 Elsevier B.V.","Asset utilization; Digital transformation; Enterprise risk-taking; Investment efficiency; Managerial ability; Strategic deviance","Article","Final","","Scopus","2-s2.0-85186608329"
"Wang Q.; Zhang F.; Li R.; Sun J.","Wang, Qiang (56953841500); Zhang, Fuyu (57212551506); Li, Rongrong (56896517000); Sun, Jiayi (58318897900)","56953841500; 57212551506; 56896517000; 58318897900","Does artificial intelligence promote energy transition and curb carbon emissions? The role of trade openness","2024","Journal of Cleaner Production","447","","141298","","","","1","10.1016/j.jclepro.2024.141298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186512282&doi=10.1016%2fj.jclepro.2024.141298&partnerID=40&md5=0c93474be6f5f4a24269f86e926da0cd","A more comprehensive understanding of the impact of artificial intelligence (AI) on energy transition and carbon emissions could help to use AI to achieve carbon neutrality. To this end, the STIRPAT approach, the mediation effect technique and the panel threshold technique are developed using the panel data in 69 countries from 1993 to 2019. The results show that: (i) AI promote energy transition and carbon emission reduction, and trade openness (indicated by imports, exports and total trade volume) has the mediating effect. (ii) There is a single-threshold of trade openness in the impact of AI on carbon emissions. When trade openness is below the threshold, AI has an insignificant impact on carbon emissions; when trade openness crosses the threshold, AI has a significant negative impact on carbon emissions. There is a double-threshold of trade openness in the impact of AI on energy transition. When trade openness is lower than the first threshold, the impact of AI on energy transition is not significant; When trade openness is higher than the second threshold, the positive impact of AI on energy transition is increased. (iii) When considering the heterogeneity of income levels and AI levels, the trade threshold for achieving carbon emission reductions in the high-income group is lower than that of the global group, and the trade threshold for achieving carbon emission reductions in the low-AI level group is higher than that of the global group. While this study unequivocally delineates the affirmative role of artificial intelligence in carbon emission reduction and energy transformation, particularly in the context of trade openness, we concurrently acknowledge that this viewpoint is not devoid of contention. Amidst the rapid advancement of technology and the landscape of open trade, we discern the presence of counterarguments. The efficacy of artificial intelligence is susceptible to the influence of multifaceted factors. It is imperative to consider associated factors, such as the significant energy consumption required for storing and cooling data centers and servers. The study's conclusions aid policymakers in devising nuanced emission reduction policies tailored to specific needs. © 2024 Elsevier Ltd","Artificial intelligence; Carbon emissions; Energy transition; Mediating effect; Threshold effect; Trade openness","Article","Final","","Scopus","2-s2.0-85186512282"
"Wu M.; Zhang X.; Lu J.; Chen Y.","Wu, Mengyun (35319160700); Zhang, Xuge (58911049300); Lu, Jie (55847833000); Chen, Yanxia (57226083615)","35319160700; 58911049300; 55847833000; 57226083615","De-familiarization governance and family firm investment efficiency","2024","Finance Research Letters","62","","105219","","","","0","10.1016/j.frl.2024.105219","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187704448&doi=10.1016%2fj.frl.2024.105219&partnerID=40&md5=d2ffd9a4ca123a65335dd7a6e605d88d","Investment efficiency is a bottleneck problem in the development of Chinese family enterprises. The study takes Chinese family-listed companies as samples to explore the impact of de-familiarization governance on investment efficiency of these firms. It is found that de-familiarization governance can effectively improve investment efficiency of enterprises, and this effect is particularly pronounced in the context of environmental uncertainty. Mechanism tests reveal that de-familiarization governance improves the investment efficiency of family businesses by enhancing managerial ability and promoting digitalization. Further analysis shows that in the context of relatively low industry competitiveness, the positive effect of de-familiarization governance on investment efficiency is more significant. The conclusions enhance our understanding of dynamic development and behavioral impact of family business governance within the current economic context, and provide new insights for family businesses seeking to enhance investment efficiency and undergo transformation and upgrading. © 2024 Elsevier Inc.","De-familiarization governance; Digitalization; Environmental uncertainty; Investment efficiency; Managerial ability","Article","Final","","Scopus","2-s2.0-85187704448"
"Zhu J.; Zhou P.; Shen Y.","Zhu, Jia (58940132900); Zhou, Pengfei (57212673653); Shen, Yang (57826583900)","58940132900; 57212673653; 57826583900","Exploring the individual and combined effect of natural resource rents, fin-tech, and renewable energy on sustainable development: New insights from SSA countries","2024","Resources Policy","91","","104747","","","","0","10.1016/j.resourpol.2024.104747","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187801702&doi=10.1016%2fj.resourpol.2024.104747&partnerID=40&md5=94b12d5e729f6cf591a67ac8e1153bd4","Natural resource revenues significantly affect economic growth, but the effect creates positive and negative externalities. Positive externalities include new technologies, jobs, and new knowledge. On the other hand, negative externalities are pollution and climate change, which are bad for health and long-term growth. In the same pursuits, this study aims to investigate the effects of natural resource rents on Sub-Saharan African countries' sustainable development (SD) over the years 2000–2022. We particularly explore the individual and combined impact of resource rents, fintech, and renewable energy (RE) on the region's sustainability. The study employed moment quantile regression (MMQR) and bootstrapped quantile regression (BSQR) to quantify the relationship between the variables. The studies showed that both approaches have the same predictive power, with MMQR being more efficient regarding data usage. MMQR and BSQR were also found to be superior to traditional regression analysis. The study has found that the region possesses a resource curse, but the impact reduces from lower to higher quantiles of SD. RE and fintech have a negative individual impact on SD. However, the combined impact of rents with RE and Fintech is significantly positive, implying that well-managed resources through using Fintech and RE may create a resource boon for SSA. We recommend that policymakers invest in renewable energy ventures and the development of green financial technologies while extracting natural resources. These actions may help reduce the resource curse from NRR or even reverse it. © 2024 Elsevier Ltd","Fintech; MMQR; Natural resource rents; Renewable energy; Sustainable development","Article","Final","","Scopus","2-s2.0-85187801702"
